file,question,answer
./data/hansung_data/hubby.txt,한성대학교 eclass는 어떤 목적으로 사용되나요?,"한성대학교 eclass는 각 수업의 강의자료나 강의영상 등이 올라오는 사이트로, 과제 안 내 및 과제 제출도 이곳에서 이루어집니다. 모바일에서는 코스모스 어플을 다운받으면 eclass와 연동됩니다."
./data/hansung_data/hubby.txt,한성대학교 비교과 포인트는 몇 포인트를 모아야 졸업이 가능한가요?,한성대학교에서 비교과 프로그램 참여 시 얻는 비교과 포인트는 800포인트를 모아야 졸업이 가능합니다.
./data/hansung_data/hubby.txt,한성대학교 학생증 발급 및 재발급 비용은 어떻게 되나요?,"한성대학교 실물 학생증은 신규 발급 시 무료이며, 재발급 시 수수료 2000원을 납부해야 합니다. 실물 학생증은 상상관 1층에 위치한 학생원스톱지원센터에서 발급받을 수 있습니다."
./data/hansung_data/hubby.txt,"한성대학교 학생들이 노트북을 어디서 대여할 수 있으며, 대여기간은 어떻게 되나요?","한성대학교 학생들은 상상관 통합기자재실(309호)에서 노트북을 대여할 수 있으며, 대여기간은 당일 한정입니다. 미반납 시 6개월 대여정지 처리됩니다. 장기대여의 경우 별도로 신청해야 합니다."
./data/hansung_data/hubby.txt,"한성대학교 체력단련실(헬스장)은 어디에 위치해 있으며, 운영시간은 어떻게 되나요?","한성대학교의 체력단련실은 낙산관 4층과 상상빌리지 지하2층에 위치해 있습니다. 낙산관은 학기중 07:00~22:00, 방중 08:00~21:00에 운영되고, 상상빌리지는 05:00~24:00에 운영됩니다. 기숙사생이 아닌 경우 상상빌리지의 경우 05:00~22:00 까지 이용 가능합니다."
./data/hansung_data/hubby.txt,"한성대학교의 학생식당과 교직원식당은 어디에 위치해 있으며, 운영시간은 어떻게 되나요?","한성대학교 학생식당은 창의관 지하1층에 위치하며, 학기중 11:00~19:00, 방중 11:00~17:00에 운영됩니다. 교직원식당은 창의관 지하1층에 위치하며 11:00~13:30까지 운영됩니다."
./data/hansung_data/hubby.txt,"한성대학교의 중앙동아리 분과에는 어떠한 분과들이 있으며, 각 분과에 속하는 동아리 예시를 하나씩 들어주세요.","한성대학교의 중앙동아리 분과에는 공연예술분과, 종교분과, 학술분과, 체육분과, 평면예술분과, 취미봉사분과가 있습니다. 예를 들어, 공연예술분과에는 '왕산악 (메탈)' 동아리가 있고, 종교분과에는 'CCC (기독교)' 동아리가 있습니다."
./data/hansung_data/hubby.txt,한성대학교의 통학버스 실시간 위치 정보를 제공하는 앱은 무엇인가요?,한성대학교의 통학버스인 성북02와 종로03 버스 및 셔틀버스의 실시간 위치 정보를 제공하는 앱은 '한성대학교 스쿨버스'입니다.
./data/hansung_data/hubby.txt,한성대학교 도서관에서 어떤 온라인 강의를 무료로 수강할 수 있나요?,"한성대학교 학술정보관에서는 토익 및 토플, 공인중개사, 주택관리사, 공무원 NCS, 한국사능력시험, 어학시험, 컴퓨터활용능력, 각종 IT관련 자격증 강의 등 다양한 온라인 강의를 무료로 수강할 수 있습니다."
./data/hansung_data/student_information.txt,한성대학교에서 교양필수 학점은 몇 학점인가요?,한성대학교에서 교양필수 학점은 31학점입니다.
./data/hansung_data/student_information.txt,비교과 포인트 제도란 무엇인가요?,"비교과 포인트 제도는 교과 영역 외의 비교과 활동에 참여할 시 포인트를 지급받는 제도로, 졸업 전까지 총 800포인트를 모아야 졸업할 수 있습니다."
./data/hansung_data/student_information.txt,융합전공 I을 이수하려면 몇 학점을 이수해야 하나요?,융합전공 I을 이수하려면 제1전공과 제2전공 각각 39학점씩 총 78학점을 이수해야 합니다.
./data/hansung_data/student_information.txt,한성대학교에서 재수강 시 최대 성적인 몇 점인가요?,한성대학교에서 재수강 시 취득 가능한 최대 성적은 A0입니다.
./data/hansung_data/student_information.txt,수강신청 장바구니 시스템은 언제부터 사용할 수 있나요?,수강신청 장바구니 시스템은 1학년 2학기 수강신청부터 사용할 수 있습니다.
./data/hansung_data/student_information.txt,한성대학교 학술정보관에서는 어떤 무료 강의를 수강할 수 있나요?,"한성대학교 학술정보관에서는 토익, 토플, 공인중개사, 주택관리사, 공무원, NCS, 한국사 능력시험, 어학시험, 컴퓨터 활용능력 등 각종 IT 관련 자격증 강의 등을 무료로 수강할 수 있습니다."
./data/hansung_data/student_information.txt,한성대학교의 휴학 종류에는 무엇이 있나요?,"한성대학교의 휴학 종류에는 일반휴학, 입대휴학, 모성보호휴학, 창업휴학 등이 있습니다."
./data/hansung_data/student_information.txt,한성대학교의 학술정보관 열람실 운영시간은 어떻게 되나요?,"한성대학교 학술정보관 열람실은 학기 중에는 06:30부터 23:00까지, 시험기간에는 24시간 운영됩니다."
./data/hansung_data/student_information.txt,한성대학교의 학생식당은 어디에 위치하고 있나요?,한성대학교의 학생식당은 창의관 지하1층에 위치하고 있습니다.
./data/hansung_data/hansung_sang.txt,트랙제도에서 1학년 때 학생들이 할 수 있는 것은 무엇인가요?,트랙제도에서 1학년 때 학생들은 자유롭게 여러 트랙전공을 들어볼 수 있습니다.
./data/hansung_data/hansung_sang.txt,한성대학교의 교육이념은 무엇인가요?,한성대학교의 교육이념은 '진리'와 '지선'입니다.
./data/hansung_data/hansung_sang.txt,한성대학교의 창의융합대학에 있는 전공은 무엇인가요?,"창의융합대학에는 상상력인재학부, 문학문화콘텐츠학과, AI응용학과, 융합보안학과, 미래모빌리티학과가 있습니다."
./data/hansung_data/hansung_sang.txt,한성대학교의 상징물 중 하나인 거북의 의미는 무엇인가요?,"거북은 슬기롭고 영특한 동물로, 한성대학교의 교훈인 '진리지선'과 상징적 관계가 있습니다."
./data/hansung_data/hansung_sang.txt,한성대학교의 교가 작사는 누가 했나요?,한성대학교의 교가는 정연길이 작사했습니다.
./data/hansung_data/hansung_sang.txt,한성대학교의 디자인대학에서 제공되는 트랙은 무엇이 있나요?,"디자인대학에서 제공되는 트랙으로는 패션디자인트랙, 패션마케팅트랙, 패션크리에이티브디렉션트랙 등이 있습니다."
./data/hansung_data/hansung_sang.txt,한성대학교의 슬로건 중 하나를 말해주세요.,"한성대학교의 슬로건 중 하나는 '한성이 만든 오늘, 세상이 만날 내일'입니다."
./data/hansung_data/hansung_sang.txt,한성대학교의 마스코트 캐릭터는 무엇인가요?,"한성대학교의 마스코트는 '상상부기'로, 거북이를 모티브로 한 캐릭터입니다."
./data/hansung_data/hansung_sang.txt,한성대학교의 IT공과대학에서 제공되는 트랙은 무엇이 있나요?,"IT공과대학에서 제공되는 트랙으로는 모바일소프트웨어트랙, 빅데이터트랙, 디지털콘텐츠가상현실트랙 등이 있습니다."
./data/hansung_data/school_information.txt,한성대학교에서 전공 교육과정을 이수하기 위한 필수 학점은 어떻게 되나요?,"한성대학교에서 전공을 이수하기 위해서는 전공 78학점, 교양 31학점, 기타 21학점으로 총 130학점을 이수하여야 합니다. 부전공을 이수할 경우에는 전공 99학점으로 총 151학점을 이수해야 합니다."
./data/hansung_data/school_information.txt,한성대학교의 비교과 포인트 제도는 무엇인가요?,"한성대학교의 비교과 포인트 제도는 교과영역 외의 비교과 활동에 참여하면 포인트를 지급받는 제도입니다. 졸업 전까지 총 800포인트를 모아야 하며, 한 학기에 최대 200포인트까지 채울 수 있습니다."
./data/hansung_data/school_information.txt,한성대학교에서 재수강이 가능한 성적 기준은 어떻게 되나요?,"한성대학교에서는 C 이하 성적부터 재수강이 가능하며, 재수강 시 취득 가능한 최대 성적은 A0입니다."
./data/hansung_data/school_information.txt,한성대학교의 트랙 선택 과정은 어떻게 이루어지나요?,"한성대학교의 트랙 선택 과정은 1학년 때 자유롭게 전공과목을 체험한 후, 2학년 때 두 개의 트랙을 선택합니다. 제1트랙은 자신이 속한 학부 내에서 선택하고, 제2트랙은 모든 계열에서 자유롭게 선택할 수 있습니다."
